wavelength_um,global_tilt_um,direct_normal_um
0.644,1446.1999999999998,1307.3999999999999
0.645,1456.7,1317.0
0.646,1415.0,1279.7
0.647,1408.6000000000001,1274.4
0.648,1395.2,1262.5
0.649,1351.9,1223.4
0.65,1359.3999999999999,1229.9
0.651,1444.7,1307.1
0.652,1387.1,1255.8
0.653,1431.1000000000001,1295.0
0.654,1415.3,1280.7
0.655,1349.9,1222.0
0.656,1185.1000000000001,1072.7
0.657,1239.3000000000002,1121.8
0.658,1385.5,1254.0
0.659,1390.5,1258.6
0.66,1399.2,1266.8
0.661,1393.3,1261.8
0.662,1381.8999999999999,1251.8
0.663,1384.4,1253.9
0.664,1396.7,1264.7
0.665,1421.4,1287.1
0.666,1420.3,1286.0
0.667,1410.1999999999998,1276.7
0.668,1415.0,1281.0
0.669,1439.4,1303.1999999999998
0.67,1419.6,1285.3000000000002
0.671,1416.9,1282.8999999999999
0.672,1397.2,1265.1
0.673,1409.4,1276.0
0.674,1407.4,1274.2
0.675,1395.8,1263.9
0.676,1412.0,1278.6
0.677,1399.1,1266.8999999999999
0.678,1406.6000000000001,1273.7
0.679,1394.7,1262.8999999999999
0.68,1396.9,1265.0
0.681,1391.5,1260.1
0.682,1398.1,1266.2
0.683,1383.0,1252.6
0.684,1373.8999999999999,1244.5
0.685,1374.8,1245.4
0.686,1343.8000000000002,1217.4
0.687,968.24,882.85
0.688,1120.6000000000001,1019.5000000000001
0.689,1127.8,1026.0
0.69,1182.1,1074.6
0.691,1233.3,1120.1000000000001
0.692,1268.8999999999999,1151.6
0.693,1260.8999999999999,1144.6000000000001
0.694,1246.3999999999999,1131.8
0.695,1271.4,1153.8
0.696,1268.3999999999999,1151.3
0.697,1340.3,1215.1000000000001
0.698,1319.1999999999998,1196.1
0.699,1291.8,1172.1
0.7,1282.3,1163.6
0.701,1265.9,1148.9
0.702,1267.4,1150.0
0.703,1274.7,1156.7
0.704,1307.8000000000002,1186.3999999999999
0.705,1321.3999999999999,1198.9
0.706,1314.4,1192.5
0.707,1309.0,1187.5
0.708,1304.8,1183.8999999999999
0.709,1309.5,1188.0
0.71,1317.5,1195.4
0.711,1315.5,1193.4
0.712,1307.1,1185.6
0.713,1291.8,1171.8999999999999
0.714,1302.8999999999999,1182.3
0.715,1258.6999999999998,1142.8
0.716,1271.6000000000001,1154.8
0.717,1107.1,1008.1
0.718,1029.6000000000001,938.7299999999999
0.719,923.18,842.74
0.72,985.5,899.4
0.721,1086.1000000000001,989.6700000000001
0.722,1240.6999999999998,1128.1000000000001
0.723,1144.4,1042.3
0.724,1055.5,963.05
0.725,1038.0,947.41
0.726,1081.3,986.38
0.727,1085.0,989.88
0.728,1040.0,949.68
0.729,1046.6,955.0300000000001
0.73,1128.5,1029.4
0.731,1070.3,977.02
0.732,1153.4,1052.0
0.733,1196.1999999999998,1090.1000000000001
0.734,1235.7,1126.1000000000001
0.735,1217.8,1110.1000000000001
0.736,1205.8999999999999,1099.3999999999999
0.737,1203.8999999999999,1097.8000000000002
0.738,1226.9,1118.4
0.739,1190.5,1085.5
0.74,1219.5,1111.9
0.741,1214.8000000000002,1107.8
0.742,1215.3,1108.4
0.743,1240.5,1131.6
0.744,1250.3,1140.8
0.745,1249.7,1140.4
0.746,1247.0,1138.1
0.747,1247.7,1138.9
0.748,1240.1,1132.3000000000002
0.749,1235.7,1128.6000000000001
0.75,1234.1,1127.3
0.751,1228.6,1122.4
0.752,1233.0,1126.5
0.753,1226.6,1121.0
0.754,1242.0,1135.3
0.755,1238.3,1132.1000000000001
0.756,1223.2,1118.5
0.757,1222.1,1117.6
0.758,1229.5,1124.6000000000001
0.759,1194.5,1093.2
0.76,266.04,247.16
0.761,153.96,143.28
0.762,687.6600000000001,634.91
